,precision,recall,f1-score,support
0,0.3333333333333333,1.0,0.5,5.0
1,0.0,0.0,0.0,10.0
2,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.0
accuracy,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411
macro avg,0.3888888888888889,0.6111111111111112,0.4444444444444445,39.0
weighted avg,0.5555555555555556,0.6410256410256411,0.5769230769230769,39.0
