,precision,recall,f1-score,support
0,0.8205128205128205,1.0,0.9014084507042254,32.0
1,0.0,0.0,0.0,4.0
2,0.0,0.0,0.0,3.0
accuracy,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.8205128205128205
macro avg,0.2735042735042735,0.3333333333333333,0.3004694835680751,39.0
weighted avg,0.6732412886259039,0.8205128205128205,0.7396171903214157,39.0
