,VAR,max_depth,n_estimators,acc_train,acc_test,f1_score,rmse
0,ER,9,50,1.0,0.7692307692307693,,0.4529108136578383
0,HER2,9,100,1.0,0.7948717948717948,,0.4529108136578383
0,B-R grade,12,50,1.0,0.5128205128205128,,0.816496580927726
0,node status,6,50,1.0,0.5384615384615384,,0.6793662204867574
0,tumor type,6,200,1.0,0.8205128205128205,,0.6405126152203485
