,precision,recall,f1-score,support
0,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0
1,0.85,0.7727272727272727,0.8095238095238095,22.0
accuracy,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948
macro avg,0.7934210526315789,0.7981283422459893,0.7936507936507937,39.0
weighted avg,0.8006747638326585,0.7948717948717948,0.7956857956857957,39.0
